,COURSE_ID,TITLE,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
64,GPXX01DCEN,data science in health care  advanced prognostication using neural networks,0,0,0,0,0,1,0,1,0,0,0,0,0,0
65,GPXX04XJEN,advanced machine   deep learning for spam classification task,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,GPXX0JZ4EN,visual data analysis in banking,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,GPXX0ZYVEN,secure analysis of credit card dataset,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,GPXX0ZMZEN,data science in health care  advanced machine learning classification,0,0,0,0,0,1,0,1,0,0,0,0,0,0
69,GPXX0742EN,network traffic anomaly detection  intrusion detection task ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,GPXX0KV4EN,getting started with node js,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,GPXX01RYEN,getting started with mysql command line,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,CC0120EN,an introduction to ibm cloud satellite,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,QC0101EN,introduction to quantum computing,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,GPXX0YMEEN,launch an ai hotdog detector as a serverless python app,0,1,0,0,0,1,1,0,0,0,0,0,0,0
75,GPXX0Q8AEN,exploratory data analysis  eda  with pandas in banking,0,1,0,1,0,0,0,0,0,0,0,0,0,0
76,TA0105EN,text analytics 101,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,GPXX0XFQEN,create tables and load data in mysql using phpmyadmin,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,GPXX07REN,relational model concepts,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,PA0101EN,predictive modeling fundamentals i,0,0,0,0,0,1,0,1,0,0,0,0,0,0
80,BC0202EN,build an iot blockchain network for a supply chain,0,0,0,0,0,0,0,0,0,0,0,1,0,1
81,BC0101EN,blockchain essentials,0,0,0,0,0,0,0,0,0,0,0,1,0,1
82,GPXX0725EN,getting started with postgresql command line,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,BC0201EN,ibm blockchain foundation developer,0,0,1,0,0,0,0,0,0,0,0,0,0,1
84,GPXX0MIIEN,keys and constraints in mysql,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,BD0223EN,exploring spark s graphx,0,0,0,1,0,0,0,0,1,0,0,0,0,0
86,GPXX0435EN,data science in health care  basic statistical analysis ,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,GPXX06ZLEN,create tables and load data in postgresql using pgadmin,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,GPXX0QS6EN,monitoring the metrics of java microservices using eclipse microprofile metrics,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,GPXX07YGEN,configuring microservices running in kubernetes,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,AI0111EN,game playing ai with swift for tensorflow  s4tf ,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,GPXX0QJFEN,enabling cross origin resource sharing  cors  in a restful java microservice,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,GPXX0LLEEN,getting started with db2 on cloud,1,0,1,0,0,0,0,0,0,0,0,0,0,0
93,BD0121EN,apache pig 101,1,0,0,0,0,0,0,0,1,0,0,0,0,0
94,BD0135EN,developing distributed applications using zookeeper,1,0,0,0,0,0,0,0,0,0,0,1,0,0
95,BD0133EN,controlling hadoop jobs using oozie,0,0,0,0,0,0,0,0,1,0,0,1,0,0
96,BD0131EN,moving data into hadoop,1,0,0,0,0,0,0,0,1,0,0,0,0,0
97,BD0115EN,mapreduce and yarn,1,0,0,0,0,0,0,0,1,0,0,0,0,0
98,GPXX04V3EN,deploy a web server using python and ibm cloud engine,0,1,1,0,0,0,0,0,0,0,0,1,0,0
99,GPXX05P1EN,acknowledging messages using microprofile reactive messaging,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,GPXX0D14EN,build a personal movie recommender with django,0,1,0,0,0,1,0,0,0,0,0,1,0,0
101,GPXX0G3KEN,managing and injecting dependencies into java microservices using contexts and dependency injection  cdi ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,BD0211EN,spark fundamentals i,1,0,0,1,0,0,0,0,1,0,0,0,0,0
103,GPXX0HZ2EN,deploying microservices to kubernetes,0,0,0,0,1,0,0,0,0,0,0,1,0,0
104,GPXX04TNEN,getting started with open liberty,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,GPXX0IHMEN,consuming restful java microservices asynchronously using eclipse microprofile rest client,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,ST0101EN,statistics 101,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,BD0153EN,analyzing big data with a spreadsheet ui,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,DP0101EN,openrefine 101,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,BD0137EN,solr 101,1,0,0,0,0,0,0,0,0,0,0,1,0,0
110,ML0120EN,deep learning with tensorflow,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,GPXX0E3QEN,building fault tolerant microservices with the  fallback annotation,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,GPXX0XV3EN,consuming restful java microservices with template interfaces using eclipse microprofile rest client,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,CB0201EN,build chatbots with watson assistant,0,0,0,0,0,1,0,0,0,1,0,0,0,0
114,CB0105ENv1,node red  basics to bots,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,GPXX0NHZEN,normalization   keys   constraints in relational database,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,CL0101EN,ibm cloud essentials,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,CO0301EN,getting started with microservices with istio and ibm cloud kubernetes service,0,0,1,0,0,0,0,0,0,0,0,1,0,0
118,GPXX0XENEN,playing tictactoe with reinforcement learning and openai gym,0,0,0,0,0,1,0,0,0,0,0,0,0,0
119,GPXX0HAAEN,deploying a microservice to openshift by using a kubernetes operator,0,0,0,0,1,0,0,0,0,0,0,1,0,0
120,DA0201EN,data analysis demos,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,DJ0101EN,data journalism  first steps  skills and tools,1,0,0,1,0,0,0,0,0,0,0,0,0,0
122,CP0101EN,mathematical optimization for business problems,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,DB0111EN,db2 academic training,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,DB0115EN,db2 fundamentals ii,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,COM001EN,scalable web applications on kubernetes,0,0,0,0,1,0,0,0,0,0,0,1,0,0
126,DA0151EN,data analysis using r 101,0,0,0,1,0,0,0,0,0,0,1,0,0,0
127,DB0151EN,nosql and dbaas 101,1,0,0,0,0,0,0,0,1,0,0,0,0,0
128,CO0302EN,kubernetes operators advanced,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,GPXX0T0FEN,project  deploy a serverless app for image processing,0,0,0,0,0,0,1,0,0,0,0,1,0,0
130,DS0107,data science career talks,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,DS0110EN,data science with open data,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,DX0107EN,data science bootcamp with python for university professors,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,DS0321EN,bitcoin 101,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,DS0105EN,data science hands on with open source tools,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,DS0103EN,data science methodology,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,GPXX0I4FEN,creating asynchronous java microservices using microprofile reactive messaging,0,0,0,0,0,0,0,0,0,0,0,1,0,0
137,GPXX06KEEN,build a smart search form with algolia,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,GPXX0YBFEN,documenting restful apis using microprofile openapi,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,LB0109ENv1,reactive architecture  distributed messaging patterns,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,GPXX0KHHEN,data science in agriculture  land use classification,0,0,0,0,0,1,0,1,0,0,0,0,0,0
141,LB0111EN,reactive architecture  cqrs   event sourcing,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,ML0115EN,deep learning 101,0,0,0,0,0,1,0,0,0,0,0,0,0,0
143,LB0105ENv1,reactive architecture  reactive microservices,0,0,0,0,0,0,0,0,0,0,0,1,1,0
144,LB0103ENv1,reactive architecture  domain driven design,0,0,0,0,0,0,0,0,0,0,0,1,1,0
145,IT0101EN,building robots with tjbot,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,CC0250EN,building cloud native and multicloud applications,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,BD0101EN,big data 101,1,0,0,0,0,0,0,0,1,0,0,0,0,0
148,EE0101EN,modernizing java ee applications,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,GPXX04P5EN,data science in agriculture  prognostication using by neural network,0,0,0,0,0,1,0,1,0,0,0,0,0,0
150,CO0101EN,docker essentials  a developer introduction,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,ML0122ENv3,accelerating deep learning with gpus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,LB0107ENv1,reactive architecture  building scalable systems,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153,CB0101EN,build your own chatbots,0,0,0,0,0,0,0,0,0,1,0,0,0,0
154,GPXX0PG8EN,data science in agriculture  basic statistical analysis and geo visualisation,0,0,0,1,0,0,0,1,0,0,0,0,0,0
155,ML0101EN,machine learning with python,0,1,0,0,0,1,0,1,0,0,0,0,0,0
156,CB0103EN,build your own chatbot,0,0,0,0,0,0,0,0,0,1,0,0,0,0
157,ML0109EN,machine learning   dimensionality reduction,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158,ML0101ENv3,machine learning with python,0,1,0,0,0,1,0,0,0,0,0,0,0,0
159,GPXX0M7ZEN,consuming a restful java web service using json b and json p,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,CC0121EN,an introduction to ibm cloud for financial services,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,DA0101EN,data analysis with python,0,1,0,1,0,0,0,0,0,0,0,0,0,0
162,GPXX07UGEN,testing reactive java microservices using microshed testing framework,0,0,0,0,0,0,0,0,0,0,0,1,0,0
163,GPXX0QU9EN,checking the health of java microservices by using kubernetes readiness and liveness probes,0,0,0,0,0,0,0,0,0,0,0,1,0,0
164,SC0101EN,scala 101,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,GPXX0QTEEN,checking the health of java microservices by using eclipse microprofile health check,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166,GPXX0WTIEN,train a hotdog image recognition model with python,0,0,0,0,0,1,1,0,0,0,0,0,0,0
167,GPXX08WYEN,externalizing configuration for java microservices using eclipse microprofile config,0,0,0,0,0,0,0,0,0,0,0,1,0,0
168,GPXX0UMSEN,integrating restful services with a reactive system,0,0,0,0,0,0,0,0,0,0,0,1,1,0
169,GPXX0M6UEN,using the cql shell to execute keyspace operations in cassandra,1,0,0,0,0,0,0,0,1,0,0,0,0,0
170,GPXX097UEN,performing table and crud operations with cassandra,1,0,0,0,0,0,0,0,1,0,0,0,0,0
171,SN0111EN,how to create and publish guided projects and hands on labs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,GPXX0JGFEN,building a simple restful java microservice using jax rs and json b,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,CO0193EN,hybrid cloud conference   backend services for containers,0,0,0,0,1,0,0,0,0,0,0,1,0,0
174,GPXX0HC7EN,transform photos to sketches and paintings with opencv,0,0,0,0,0,1,1,0,0,0,0,0,0,0
175,GPXX04MXEN,quick introduction to a b testing,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,DS0101EN,introduction to data science,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177,LB0101ENv1,reactive architecture  introduction to reactive systems,0,0,0,0,0,0,0,0,0,0,0,1,1,0
178,DS0301EN,data privacy fundamentals,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,GPXX0RL8EN,consuming a restful java web service with angularjs,0,0,0,0,0,0,0,0,0,0,0,1,1,0
180,GPXX05LMEN,implement consumer driven contract testing for java microservices using the pact framework,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181,BD0111EN,hadoop 101,1,0,0,0,0,0,0,0,1,0,0,0,0,0
182,CC0101EN,introduction to cloud,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,GPXX0UN5EN,classification of yelp reviews using sentiment analysis,0,0,0,0,0,1,0,0,0,0,0,0,0,0
184,BD0221EN,spark mllib,0,0,0,0,0,1,0,0,1,0,0,0,0,0
185,CC0103EN,ibm cloud essentials   v3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,GPXX0TY1EN,performing database operations in the cloudant dashboard,1,0,1,1,0,0,0,0,0,0,0,0,0,0
187,GPXX0T3CEN,working with databases in ibm cloudant,1,0,1,0,0,0,0,0,0,0,0,0,0,0
188,PY0101EN,python for data science,0,1,0,0,0,0,0,1,0,0,0,0,0,0
189,CC0201EN,introduction to containers  kubernetes  and openshift v2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,BD0123EN,simplifying data pipelines with apache kafka,1,0,0,0,0,0,0,0,0,0,0,1,0,0
191,DB0101EN,sql and relational databases 101,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,GPXX05RDEN,medical appointment data analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,DV0151EN,data visualization with r,0,0,0,1,0,0,0,0,0,0,1,0,0,0
194,GPXX0BSAEN,implementing a graphql microservice using microprofile api to query and update data from multiple services,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195,GPXX0G81EN,consuming a restful java web service with reactjs,0,0,0,0,0,0,0,0,0,0,0,1,1,0
196,GPXX0FFCEN,building and testing a java web application with maven and open liberty,0,0,0,0,0,0,0,0,0,0,0,1,0,0
197,GPXX0MP0EN,building a hypermedia driven restful java microservice using hypermedia as the engine of application state  hateoas ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,DV0101EN,data visualization with python,0,1,0,1,0,0,0,0,0,0,0,0,0,0
199,ML0103EN,digital analytics   regression,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,ML0151EN,machine learning with r,0,0,0,0,0,1,0,0,0,0,1,0,0,0
201,GPXX01AVEN,containerizing and running java microservices in docker containers,0,0,0,0,1,0,0,0,0,0,0,0,0,0
202,ML0120ENv2,deep learning with tensorflow,0,0,0,0,0,1,0,0,0,0,0,0,0,0
203,RP0101EN,r for data science,0,0,0,0,0,0,0,1,0,0,1,0,0,0
204,GPXX0G31EN,accessing and persisting data in microservices using java persistence api  jpa ,1,0,0,0,0,0,0,0,0,0,0,1,0,0
205,GPXX0KY1EN,data science in health care  basic prognostication and geo visualization,0,0,0,1,0,0,0,1,0,0,0,0,0,0
206,GPXX0JLHEN,enabling distributed tracing in java microservices using eclipse microprofile opentracing and the jaeger tracing system ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
207,CC0150EN,building cloud native and multicloud applications,0,0,1,0,0,0,0,0,0,0,0,1,1,0
208,GPXX0QQ3EN,deploy an ai powered discord bot with a voice,0,0,1,0,0,0,0,0,0,1,0,0,0,0
209,GPXX0RQLEN,views in postgresql,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,GPXX0WRDEN,streaming updates from a microprofile reactive messaging microservice using server sent events  sse ,0,0,0,0,0,0,0,0,0,0,0,1,0,0
211,GPXX0ADEN,consuming a restful java web service with angular,0,0,0,0,0,0,0,0,0,0,0,1,1,0
212,ML0120ENv3,deep learning with tensorflow,0,0,0,0,0,1,0,0,0,0,0,0,0,0
213,SC0105EN,data science with scala,0,0,0,0,0,0,0,1,0,0,0,0,0,0
214,excourse01,relational database systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,excourse02,business intelligence and data warehousing,1,0,0,1,0,0,0,0,0,0,0,0,0,0
216,excourse03,nosql systems,1,0,0,0,0,0,0,0,1,0,0,0,0,0
217,excourse04,sql for data science,1,0,0,0,0,0,0,1,0,0,0,0,0,0
218,excourse05,"
distributed computing with spark sql",1,0,0,0,0,0,0,0,1,0,0,0,0,0
219,excourse06,sql for data science capstone project,1,0,0,0,0,0,0,1,0,0,0,0,0,0
220,excourse07,database management essentials,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,excourse08,using databases with python,0,1,0,0,0,0,0,0,0,0,0,0,0,0
222,excourse09,process data from dirty to clean,0,0,0,1,0,0,0,0,0,0,0,0,0,0
223,excourse10,database architecture  scale  and nosql with elasticsearch,1,0,0,0,0,0,0,0,1,0,0,0,0,0
224,excourse11,the nature of data and relational database design,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,excourse12,python scripting  files  inheritance  and databases,1,1,0,0,0,0,0,0,0,0,0,0,0,0
226,excourse13,relational database support for data warehouses,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,excourse14,introduction to structured query language  sql ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
228,excourse15,crash course on python,0,1,0,0,0,0,0,0,0,0,0,0,0,0
229,excourse16,programming for everybody  getting started with python ,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230,excourse17,python basics,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,excourse18,python programming  a concise introduction,0,1,0,0,0,0,0,0,0,0,0,0,0,0
232,excourse19,introduction to python programming,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233,excourse20,python and statistics for financial analysis,0,1,0,1,0,0,0,0,0,0,0,0,0,0
234,excourse21,applied machine learning in python,0,1,0,0,0,1,0,1,0,0,0,0,0,0
235,excourse22,introduction to data science in python,0,1,0,0,0,1,0,1,0,0,0,0,0,0
236,excourse23,data analysis using python,0,1,0,1,0,0,0,0,0,0,0,0,0,0
237,excourse24,introduction to cloud computing,0,0,1,0,0,0,0,0,0,0,0,0,0,0
238,excourse25,cloud computing basics  cloud 101 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,excourse26,cloud computing foundations,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,excourse27,cloud computing concepts  part 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,excourse28,fundamentals of cloud computing,0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,excourse29,cloud computing concepts  part 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,excourse30,cloud computing applications  part 1  cloud systems and infrastructure,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,excourse31,cloud computing applications  part 2  big data and applications in the cloud,1,0,1,0,0,0,0,0,1,0,0,0,0,0
245,excourse32,introduction to data analytics,0,0,0,1,0,0,0,0,0,0,0,0,0,0
246,excourse33,excel basics for data analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0
247,excourse34,introduction to data analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0
248,excourse35,introduction to predictive modeling,0,0,0,1,0,1,0,0,0,0,0,0,0,0
249,excourse36,data analysis using python,0,1,0,1,0,0,0,0,0,0,0,0,0,0
250,excourse37,data analysis with r programming,0,0,0,1,0,0,0,0,0,0,1,0,0,0
251,excourse38,data analysis with python,0,1,0,1,0,0,0,0,0,0,0,0,0,0
252,excourse39,excel fundamentals for data analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,0
253,excourse40,exploratory data analysis for machine learning,0,0,0,1,0,1,0,0,0,0,0,0,0,0
254,excourse41,introduction to data analysis using excel,0,0,0,1,0,0,0,0,0,0,0,0,0,0
255,excourse42,big data analysis  hive  spark sql  dataframes and graphframes,1,0,0,0,0,0,0,0,1,0,0,0,0,0
256,excourse43,cloud virtualization  containers and apis,0,0,1,0,1,0,0,0,0,0,0,1,0,0
257,excourse44,alibaba cloud native solutions and container service,0,0,1,0,1,0,0,0,0,0,0,1,0,0
258,excourse45,docker  basics,0,0,0,0,1,0,0,0,0,0,0,0,0,0
259,excourse46,machine learning,0,0,0,0,0,1,0,0,0,0,0,0,0,0
260,excourse47,machine learning for all,0,0,0,0,0,1,0,0,0,0,0,0,0,0
261,excourse48,introduction to machine learning  language processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,excourse49,applied machine learning in python,0,1,0,0,0,1,0,0,0,0,0,0,0,0
263,excourse50,build  train  and deploy ml pipelines using bert,0,0,0,0,0,1,0,0,0,0,0,0,0,0
264,excourse51,introduction to machine learning in production,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,excourse52,machine learning data lifecycle in production,0,0,0,0,0,1,0,0,0,0,0,0,0,0
266,excourse53,deploying machine learning models in production,0,0,0,0,0,1,0,0,0,0,0,0,0,0
267,excourse54,exploratory data analysis for machine learning,0,0,0,1,0,1,0,0,0,0,0,0,0,0
268,excourse55,advanced computer vision with tensorflow,0,0,0,0,0,1,1,0,0,0,0,0,0,0
269,excourse56,deep learning applications for computer vision,0,0,0,0,0,1,1,0,0,0,0,0,0,0
